time,apparentTemperature,cloudCover,dewPoint,humidity,precipIntensity,precipProbability,pressure,temperature,visibility,windBearing,windSpeed
1488700800,-8.33,0.71,-3.05,0.93,4.4653,0.85,1006.82,-2.08,0.45,211,14.51
1488704400,-8.21,0.66,-3.24,0.94,4.4755,0.85,1006.3,-2.46,0.33,220,11.97
1488708000,-9.66,0.76,-3.84,0.94,4.0437,0.84,1006.06,-3.01,0.22,227,15.05
1488711600,-10.48,0.91,-4.7,0.93,2.5019,0.8,1005.93,-3.75,0.69,228,14.54
1488715200,-10.84,1,-5.19,0.92,1.9101,0.77,1005.86,-4.16,0.8,241,13.86
1488718800,-10.22,0.9,-5.59,0.92,2.1742,0.78,1005.88,-4.47,0.97,239,10.25
1488722400,-10.16,0.74,-5.95,0.91,3.2029,0.82,1005.99,-4.76,0.9,247,9.04
1488726000,-11.36,0.66,-6.52,0.92,2.6899,0.8,1006.55,-5.48,1.12,254,9.9
1488729600,-11.57,0.74,-7.22,0.92,2.3571,0.79,1007.86,-6.08,0.83,267,8.45
1488733200,-12.8,0.9,-7.64,0.92,1.9939,0.77,1009.32,-6.59,0.69,261,10.11
1488736800,-13.47,1,-7.82,0.93,1.4427,0.74,1010.35,-6.92,0.85,260,10.89
1488740400,-13.64,0.9,-8.29,0.91,1.237,0.72,1010.86,-7.14,1.64,258,10.57
1488744000,-13.52,0.74,-8.39,0.89,0.95,0.69,1011.07,-6.95,3.24,256,10.9
1488747600,-12.8,0.66,-8.04,0.88,1.6485,0.75,1011.26,-6.45,1.96,254,10.63
1488751200,-13.31,0.74,-8.32,0.9,1.4326,0.74,1011.67,-6.94,2.33,255,10.34
1488754800,-13.09,0.9,-8.24,0.9,1.3411,0.73,1012.21,-6.9,2.47,260,9.85
1488758400,-13.46,1,-8.7,0.91,0.7366,0.66,1013,-7.48,3.75,257,8.91
1488762000,-14.09,0.88,-9.22,0.91,0.7036,0.65,1014.25,-7.98,3.21,253,8.94
1488765600,-14.05,0.72,-9.18,0.9,0.5283,0.61,1015.73,-7.85,2.93,246,9.27
1488769200,-14.27,0.63,-9.56,0.9,0.3861,0.57,1017.04,-8.19,2.51,260,8.76
1488772800,-13.82,0.7,-9.28,0.9,0.3454,0.55,1018.02,-7.9,3.16,256,8.52
1488776400,-14.05,0.84,-9.39,0.9,0.5283,0.61,1018.81,-8.07,2.41,258,8.59
1488780000,-13.72,0.92,-9.63,0.9,0.4496,0.59,1019.51,-8.25,2.28,256,7.34
1488783600,-13.84,0.82,-9.88,0.9,0.4394,0.59,1019.83,-8.53,2.91,253,6.9
1488787200,-13.18,0.84,-9.57,0.9,0.4166,0.58,1020.25,-8.26,5.8,246,6.24
1488790800,-14.21,0.8,-9.33,0.91,0.2972,0.53,1020.64,-8.09,6.49,234,8.9
1488794400,-12.63,0.84,-9.53,0.91,0.5283,0.61,1020.85,-8.32,5.71,236,5.19
1488798000,-12.96,0.92,-9.66,0.9,0.5207,0.61,1021.01,-8.33,5.39,241,5.69
1488801600,-13.29,0.97,-9.54,0.91,0.5944,0.63,1021.21,-8.29,5.05,245,6.39
1488805200,-13.48,0.92,-9.34,0.91,0.5969,0.63,1021.47,-8.1,5.45,247,7.22
1488808800,-14.11,0.84,-9.04,0.91,0.6147,0.63,1021.79,-7.88,6.52,249,9.31
1488812400,-13.96,0.81,-8.77,0.91,0.3658,0.56,1022.16,-7.59,7.72,238,9.85
1488816000,-12.14,0.84,-8.12,0.92,0.5105,0.61,1022.68,-7.01,7.37,244,7.18
1488819600,-12.73,0.92,-7.22,0.91,0.4343,0.58,1023.21,-5.97,7.54,237,12.35
1488823200,-12.63,0.98,-7.03,0.9,0.3175,0.54,1023.48,-5.63,7.5,232,13.56
1488826800,-11.71,0.92,-6.4,0.89,0.2845,0.52,1023.32,-4.88,8.14,237,13.71
1488830400,-10.64,0.85,-5.71,0.89,0.2794,0.52,1022.93,-4.23,8.01,230,12.71
1488834000,-9.47,0.81,-5.67,0.89,0.1499,0.27,1022.61,-4.08,8.68,234,9.43
1488837600,-9.18,0.83,-5.58,0.88,0.1524,0.27,1022.44,-3.96,8.87,241,9.03
1488841200,-8.17,0.89,-4.81,0.88,0.1524,0.27,1022.36,-3.15,8.2,241,8.99
1488844800,-8.47,0.93,-5.23,0.88,0.1676,0.31,1022.58,-3.48,7.63,244,8.68
1488848400,-7.02,0.86,-5.04,0.88,0.1245,0.2,1023.31,-3.37,7.81,251,5.62
1488852000,-8.08,0.78,-5.93,0.89,0.0991,0.15,1024.29,-4.33,8.37,246,5.46
1488855600,-8.26,0.74,-6.47,0.9,0.0889,0.12,1025.15,-5.07,7.7,238,4.32
1488859200,-7.77,0.77,-6.42,0.9,0.066,0.08,1025.77,-4.97,7.77,249,3.8
1488862800,-5.41,0.84,-6.69,0.91,0.061,0.07,1026.28,-5.41,6.74,218,2.63
1488866400,-5.5,0.89,-6.84,0.9,0.0508,0.05,1026.72,-5.5,6.52,226,2.76
1488870000,-8.32,0.8,-6.57,0.9,0.0381,0.03,1027.02,-5.24,7.77,210,4.11
1488873600,-8.14,0.71,-7.03,0.91,0.0229,0.01,1027.22,-5.75,7.97,205,3.17
1488877200,-9.6,0.64,-7.32,0.91,0,0,1027.45,-6.1,8.98,207,4.53
1488880800,-10.29,0.66,-7.14,0.91,0,0,1027.81,-5.93,9.18,231,6.06
1488884400,-10.52,0.74,-7.53,0.91,0,0,1028.21,-6.27,8.57,230,5.74
1488888000,-8.89,0.8,-7.51,0.9,0,0,1028.49,-6.08,7.76,245,3.59
1488891600,-9.02,0.75,-7.89,0.88,0,0,1028.85,-6.3,8.87,223,3.46
1488895200,-10.65,0.66,-8.22,0.87,0,0,1029.02,-6.38,9.18,222,5.73
1488898800,-9.32,0.55,-7.15,0.86,0,0,1028.94,-5.24,9.63,216,5.77
1488902400,-7.17,0.62,-5.97,0.84,0,0,1028.49,-3.69,9.78,224,5.17
1488906000,-6.17,0.74,-4.04,0.84,0,0,1027.73,-1.69,10,225,8.38
1488909600,-4.73,0.81,-3.21,0.83,0,0,1026.98,-0.75,9.98,230,7.55
1488913200,-3.94,0.76,-2.34,0.83,0,0,1026.41,0.13,10,225,8.36
1488916800,-4.09,0.66,-2.2,0.83,0,0,1025.93,0.39,10,230,9.91
1488920400,-3.99,0.44,-2.48,0.8,0,0,1025.56,0.53,9.95,240,10.2
1488924000,-3.27,0.51,-2.26,0.8,0,0,1025.25,0.81,9.85,235,8.9
1488927600,-3.61,0.72,-1.82,0.84,0,0,1025.06,0.58,9.75,237,9.1
1488931200,-3.64,0.73,-1.76,0.85,0.0203,0.01,1025.15,0.45,9.8,237,8.68
1488934800,-2.13,0.83,-2.13,0.86,0,0,1025.58,-0.07,9.73,236,3.8
1488938400,-0.34,0.82,-2.38,0.86,0,0,1026.28,-0.34,9.76,232,2.81
1488942000,-1.14,0.82,-3.01,0.87,0,0,1026.99,-1.14,9.43,33,0.35
1488945600,-1.36,0.84,-3.43,0.86,0,0,1027.64,-1.36,9.25,234,2.32
1488949200,-4.36,0.82,-4.39,0.87,0,0,1028.35,-2.48,9.04,242,3.09
1488952800,-5.16,0.81,-5.27,0.85,0,0,1028.89,-3.17,8.98,239,3.09
1488956400,-4.87,0.81,-5.08,0.84,0,0,1029.16,-2.76,9.03,239,3.3
